,name,restaurant,city,price,rating,deliveryTime
341,pizza hut express,pizza-hut-express-viman-nagar-viman-nagar,pune,300,20+ ratings,56
342,Flamiingo Lounge,flamiingo-lounge-magarpatta-magarpatta,pune,700,Too Few Ratings,46
343,The Urban Chinese,the-urban-chinese-viman-nagar,pune,350,20+ ratings,50
344,New Pizza Hut,new-pizza-hut-viman-nagar-viman-nagar,pune,300,20+ ratings,46
345,foodies destination,foodies-destination-viman-nagar-viman-nagar,pune,300,Too Few Ratings,47
346,HOTEL JAGDAMBA NONVEG,hotel-jagdamba-nonveg-viman-nagar-viman-nagar,pune,300,Too Few Ratings,47
347,R J Bakers,r-j-bakers-magarpatta-magarpatta,pune,150,Too Few Ratings,48
348,Tiffin Peddler,tiffin-peddler-magarpatta-magarpatta,pune,250,Too Few Ratings,50
349,Kava Kitchen - Fairfield by Marriott,kava-kitchen-time-office-kharadi,pune,500,Too Few Ratings,51
350,domi'o pizza,domi'o-pizza-viman-nagar-viman-nagar,pune,300,Too Few Ratings,47
351,Authentic Royal,authentic-royal-hadapsar-magarpatta,pune,450,Too Few Ratings,54
352,Chalu Chinese Express,chalu-chinese-express-kharadi-kharadi,pune,300,Too Few Ratings,51
353,Snack Court,snack-corts-hadapsar-hadapsar,pune,250,Too Few Ratings,63
354,Chalu Fried Chicken,chalu-fried-chicken-kharadi-kharadi,pune,249,Too Few Ratings,50
355,Sasta Desi Express,sasta-desi-express-kharadi-kharadi,pune,250,Too Few Ratings,49
356,Claypot,claypot-kharadi-kharadi,pune,450,100+ ratings,48
357,Fried chicken Destination,fried-chicken-destination-magarpatta-magarpatta,pune,200,1000+ ratings,47
358,The	Fort Bar & Kitchen,the	fort-bar-&-kitchen-hadapsar-hadapsar,pune,400,20+ ratings,55
359,Hotel Madhura,hotel-madhura-lohgaon-lohgaon,pune,300,100+ ratings,51
360,Chini Chor,chini-chor-kharadi,pune,200,50+ ratings,49
361,Shaukeen Paan Kharadi,shaukeen-paan-kharadi-kharadi-kharadi,pune,50,20+ ratings,42
362,Biryani House,biryani-house-kharadi-kharadi,pune,200,100+ ratings,45
363,Sai Restaurant,shree-sai-restaurant-vishrantwadi-vishrantwadi,pune,300,100+ ratings,52
364,Relax Pure Veg,relax-pure-veg-parvati-swargate,pune,500,1000+ ratings,52
365,Rollfie,rollfie-dhanori-vishrantwadi,pune,200,500+ ratings,48
366,Biryani Paradise,biryani-paradise-lohgaon-lohgaon,pune,300,Too Few Ratings,49
367,Bubsterr's Bar & Kitchen,bubsterrs-bar-kitchen-kharadi-kharadi,pune,700,20+ ratings,51
368,RushHrs,rushhrs-mega-centre-pune-solapur-road-magarpatta,pune,250,1000+ ratings,47
369,Apne Punjab Da Swad,king-of-the-taste-magarpatta-magarpatta,pune,300,100+ ratings,49
370,Paratha,paratha-magarpatta-magarpatta,pune,300,Too Few Ratings,48
371,Sandwich & Burger Point,sandwich-&-burger-point-magarpatta-magarpatta,pune,300,Too Few Ratings,46
372,Craft Of Biryani,craft-of-biryani-magarpatta-magarpatta,pune,450,Too Few Ratings,49
373,Buy 1 Get 1 Free Khichdi,buy-1-get-1-free-khichdi-magarpatta-magarpatta,pune,300,Too Few Ratings,42
374,Italian Pizza Shop,italian-pizza-shop-magarpatta-magarpatta,pune,400,Too Few Ratings,45
375,Biryani Magic,biryani-magic-magarpatta-magarpatta-2,pune,350,Too Few Ratings,48
376,Wow Chinese,wow-chinese-magarpatta-magarpatta,pune,300,Too Few Ratings,46
377,Bong's Kitchen,bong's-kitchen-magarpatta-magarpatta,pune,250,20+ ratings,52
378,Biriyani House,biriyani-house-hadapsar-hadapsar,pune,300,Too Few Ratings,48
379,Laziz Xprs,laziz-xprs-kharadi-kharadi,pune,200,Too Few Ratings,44
380,Pizza Burger Factory,pizza-burger-factory-magarpatta-magarpatta,pune,350,Too Few Ratings,47
381,Thali Central,thali-central-magarpatta-magarpatta,pune,350,500+ ratings,49
382,SKY FOOD QSR,sky-food-qsr-hadapsar-hadapsar,pune,350,Too Few Ratings,48
383,Zippy Feed,zippy-feed-hadapsar-hadapsar,pune,250,Too Few Ratings,49
384,Dhanashree's Punjabi Spice,dhanashree's-punjabi-spice-wagholi-wagholi,pune,800,Too Few Ratings,56
385,Tandoori Paradise,tandoori-paradise-lohgaon-lohgaon,pune,300,Too Few Ratings,63
386,Bengolis Kitchen,bengolis-kitchen-lohgaon-lohgaon,pune,250,20+ ratings,55
387,Shaukeen - The Complete Paan Shop,shaukeen-the-complete-paan-shop-erandwane-kothrud,pune,150,100+ ratings,46
388,Chinese Wok Master,the-chinese-wok-kothrud-kothrud,pune,200,50+ ratings,48
389,Atithi veg (law college Road),amba-enterprizes-kothrud-kothrud,pune,300,50+ ratings,51
390,Dum Zaiqa Handis Pvt Ltd,dum-zaiqa-handis-pvt-ltd-kharadi-kharadi,pune,500,Too Few Ratings,49
391,Tatva Restaurant and Cafe,tatva-restaurant-and-cafe-lohgaon-lohgaon,pune,400,Too Few Ratings,53
392,Best Belgian waffle,best-belgian-waffle-erandwane-kothrud,pune,250,500+ ratings,49
393,Hotel Shivmudra,hotel-shivmudra-wagholi-wagholi,pune,300,Too Few Ratings,53
394,Satguru's Punjabi Rasoi,satguru-s-punjabi-rasoi-wagholi-wagholi,pune,300,50+ ratings,51
395,Snack shack,snack-shack-kothrud-kothrud-2,pune,200,Too Few Ratings,49
396,Lf 91 cafe and restaurant,lf-91-cafe-and-restaurant-bopodi-bopodi,pune,250,Too Few Ratings,58
397,Nimrah Biryani,nimrah-biryani-bopodi,pune,250,Too Few Ratings,59
